location,c1,c2,c3,c4,c5,c6,dist
609_254,1,0,0,4,0,0,262
524_521,1,0,0,0,0,0,200
370_369,1,0,0,2,0,0,261
436_435,1,0,0,1,0,0,101
646_455,1,0,0,0,0,0,400
389_387,1,0,0,0,0,0,300
388_387,1,0,0,1,0,0,206
146_117,1,0,0,0,0,0,200
651_347,2,0,1,1,0,0,373
447_439,1,0,0,0,0,1,116
331_330,1,0,0,0,0,0,87
520_363,1,0,0,1,0,0,247
476_196,1,0,0,2,0,0,293
348_236,1,0,0,2,0,0,271
457_130,1,0,0,3,0,0,344
476_207,1,0,0,2,0,0,293
557_318,1,0,0,2,0,0,402
556_318,1,0,0,3,0,0,352
267_192,2,0,0,4,0,0,353
168_166,1,0,0,1,0,0,369
491_275,1,0,0,1,0,0,252
602_480,2,0,0,1,0,0,169
526_165,1,0,0,5,0,0,368
576_193,2,0,0,3,0,0,261
501_500,1,0,0,1,0,0,113
527_165,1,0,0,4,0,0,283
263_260,1,0,0,2,0,0,351
587_586,1,0,0,0,0,1,111
607_363,1,0,0,1,0,0,447
358_115,3,0,0,0,0,0,196
427_47,1,0,0,2,0,0,397
485_174,1,1,0,2,0,0,194
474_473,1,0,0,2,0,0,400
475_473,2,0,0,3,0,0,285
659_342,2,0,0,1,0,0,465
204_196,1,0,0,2,0,0,293
334_168,1,0,0,1,0,0,169
528_464,1,0,0,1,0,0,104
249_248,1,0,0,3,0,0,214
321_316,1,0,1,2,0,0,345
605_604,1,0,0,0,0,0,100
12_7,1,0,1,0,0,0,343
347_234,3,0,1,0,0,0,371
554_281,1,0,0,0,0,0,100
346_234,1,0,0,3,0,0,200
454_380,1,0,0,2,0,0,235
329_186,1,0,0,1,0,0,137
203_200,2,0,0,2,0,0,320
200_198,1,0,0,2,0,0,300
524_394,1,0,0,1,0,1,287
481_480,1,0,0,3,0,0,291
415_413,1,0,0,0,0,0,200
304_111,1,0,0,2,0,0,300
426_46,2,0,0,4,0,0,293
504_365,3,0,0,1,0,0,131
342_257,1,0,0,2,0,0,181
473_198,1,0,0,2,0,0,300
343_257,1,0,0,2,0,0,114
300_125,1,0,0,4,0,0,307
471_191,1,0,1,2,0,0,241
470_191,1,0,0,2,0,0,342
573_57,1,0,0,4,0,0,229
623_559,2,0,0,1,0,0,183
153_152,1,0,0,1,0,0,332
581_578,1,0,1,1,0,0,220
589_584,1,0,0,0,0,0,300
652_509,2,0,0,3,0,0,270
563_343,1,0,0,2,0,0,238
471_200,1,0,0,4,0,0,265
470_200,2,0,0,2,0,0,262
439_168,1,0,0,0,0,1,192
225_223,2,0,0,2,0,0,237
495_125,1,0,0,1,0,0,300
212_103,1,0,0,1,0,0,215
474_193,1,0,0,2,0,0,390
270_146,1,0,0,2,0,0,337
475_193,2,0,0,3,0,0,308
442_381,1,0,0,1,0,0,88
523_389,1,0,0,1,0,0,120
144_112,1,0,2,1,0,0,73
178_176,2,0,0,1,0,0,219
125_109,1,0,0,4,0,0,243
576_473,2,0,0,3,0,0,238
198_197,2,0,0,2,0,0,303
453_237,1,0,0,1,0,0,152
670_247,1,0,0,3,0,0,96
199_197,2,0,0,2,0,0,320
529_297,1,0,0,2,0,0,244
660_563,1,0,0,1,0,0,233
603_176,1,0,1,1,0,0,291
602_176,1,0,1,2,0,0,139
464_463,2,0,0,0,0,0,400
409_388,1,0,1,3,0,0,147
442_378,1,0,0,1,0,0,207
206_193,2,0,0,2,0,0,272
477_476,2,0,0,2,0,0,430
117_114,1,0,0,0,0,0,200
116_114,1,0,0,0,0,0,200
530_298,2,0,0,1,0,0,274
541_509,1,0,1,1,0,0,307
511_510,2,0,0,2,0,0,261
343_261,1,0,1,3,0,0,270
523_409,1,0,2,2,0,0,253
622_353,1,0,0,2,0,0,315
480_176,1,0,1,2,0,0,260
259_258,1,0,0,1,0,0,300
481_176,1,0,1,3,0,0,208
428_54,1,0,0,3,0,0,98
564_260,1,0,0,1,0,0,238
47_46,1,0,0,4,0,0,252
589_588,1,0,0,0,0,0,300
620_225,1,0,0,2,0,0,225
515_334,1,0,0,1,0,0,127
118_116,1,0,0,2,0,0,140
621_225,2,0,0,3,0,0,228
498_138,1,0,0,2,0,0,226
314_140,1,0,0,1,0,0,213
649_387,1,0,0,4,0,0,340
241_240,1,0,1,4,0,0,459
263_257,1,0,0,3,0,0,133
473_204,1,0,0,2,0,0,293
118_117,1,0,0,2,0,0,269
427_268,1,0,0,1,0,0,140
426_268,2,0,0,0,0,0,113
314_141,1,0,0,2,0,0,225
428_43,1,0,0,4,0,0,162
411_353,1,0,0,2,0,0,131
489_488,1,0,0,1,0,0,326
622_411,1,0,0,0,0,0,200
437_409,2,0,1,2,0,0,276
650_409,2,0,1,2,0,0,275
487_275,2,0,0,1,0,0,196
660_260,1,0,0,1,0,0,233
53_12,1,0,2,0,0,0,182
486_275,3,0,0,2,0,0,271
564_261,1,0,0,2,0,0,342
648_390,1,0,0,0,0,0,100
324_155,1,0,0,1,0,0,225
573_313,1,0,0,2,0,0,442
499_314,1,0,0,1,0,0,413
272_271,1,0,0,1,0,0,143
530_299,1,0,0,3,0,0,364
273_271,1,0,0,1,0,0,300
343_260,1,0,0,2,0,0,266
485_483,1,0,0,2,0,0,306
342_260,1,0,0,2,0,0,458
207_192,1,0,0,4,0,0,276
117_115,1,0,0,0,0,0,94
569_440,1,0,0,1,0,0,279
650_649,2,0,1,1,0,0,220
116_115,1,0,0,0,0,0,100
604_275,1,0,0,1,0,0,300
207_203,1,0,0,2,0,0,300
605_275,1,0,0,1,0,0,200
7_6,1,0,1,3,0,0,283
409_389,1,0,1,2,0,0,175
564_563,1,0,0,1,0,0,338
408_223,1,0,0,3,0,0,173
624_284,1,0,0,0,0,0,100
198_196,2,0,0,2,0,0,303
474_203,1,0,0,2,0,0,259
318_222,1,0,1,1,0,0,302
199_196,2,0,0,2,0,0,320
650_521,1,0,0,0,0,1,146
617_108,1,0,0,3,0,0,338
576_472,1,0,0,4,0,0,261
645_374,2,0,0,3,0,0,229
145_144,1,0,2,1,0,0,91
326_99,1,0,0,1,0,0,256
354_353,1,0,0,0,0,0,300
464_136,2,0,0,0,0,0,113
429_155,1,1,0,0,0,0,107
552_419,1,0,0,0,0,0,200
442_380,1,0,0,2,0,0,113
145_113,1,0,0,0,0,0,400
457_98,3,0,0,5,0,0,232
523_388,1,0,0,2,0,0,139
616_299,1,0,0,3,0,0,249
621_443,1,0,0,1,0,0,127
554_279,1,0,0,4,0,0,201
563_342,1,0,1,2,0,0,440
623_276,2,0,0,1,0,0,173
304_106,1,0,0,0,0,0,300
357_116,1,0,0,2,0,0,419
251_250,1,1,0,1,0,0,335
581_579,1,0,0,1,0,0,209
560_465,2,0,0,2,0,0,171
488_484,1,0,0,3,0,0,396
589_585,1,0,0,0,0,0,300
148_5,1,1,1,0,0,0,127
521_437,1,0,0,0,0,1,256
78_5,2,0,0,4,0,0,143
440_350,1,0,0,0,0,0,200
426_47,1,0,0,3,0,0,310
212_134,1,0,0,0,0,0,200
347_235,2,0,1,1,0,0,414
195_191,1,0,0,2,0,0,256
454_381,1,0,0,1,0,0,146
346_235,2,0,0,2,0,0,243
577_297,1,0,0,3,0,0,282
507_506,1,0,0,3,0,0,332
12_6,1,1,0,4,0,0,201
475_472,1,0,0,4,0,0,308
516_166,1,0,0,1,0,0,328
659_343,1,0,0,4,0,0,240
204_197,1,0,0,2,0,0,293
663_39,2,0,0,1,0,0,271
487_486,3,0,0,0,0,0,106
607_362,1,0,0,1,0,0,373
530_295,1,0,0,3,0,0,397
618_254,3,0,0,1,0,0,249
358_114,1,0,0,3,0,0,242
427_46,2,0,0,4,0,0,288
513_451,1,0,0,2,0,0,308
526_164,1,0,0,3,0,0,113
624_288,3,0,0,2,0,0,364
376_19,1,0,0,1,0,0,341
603_602,1,0,0,0,0,0,200
263_261,1,0,0,2,0,0,162
602_481,1,0,0,2,0,0,117
305_242,1,0,0,1,0,0,300
603_481,1,0,0,1,0,0,155
84_11,1,0,0,3,0,0,144
303_290,1,0,0,1,0,0,117
623_466,2,0,0,1,0,0,358
267_193,2,0,0,2,0,0,310
491_274,1,0,0,1,0,0,123
558_321,1,0,0,2,0,0,434
299_290,1,0,1,2,0,0,170
348_237,1,0,0,4,0,0,380
477_206,1,0,0,1,0,0,112
146_116,1,0,0,0,0,0,300
548_278,2,0,0,1,0,0,227
651_346,2,0,0,2,0,0,202
616_295,1,0,0,3,0,0,197
443_226,1,0,0,0,0,0,100
476_197,1,0,0,2,0,0,293
497_121,1,0,0,4,0,0,231
495_98,1,0,0,1,0,0,171
254_27,1,0,0,2,0,0,145
579_255,1,0,0,1,0,0,117
559_532,3,0,0,1,0,0,338
578_255,1,0,0,1,0,0,113
635_350,1,0,0,1,0,0,300
546_9,1,1,0,1,0,0,130
649_389,1,0,0,2,0,0,214
589_586,1,0,0,0,0,1,111
488_487,3,0,0,3,0,0,253
560_466,2,0,0,2,0,0,370
357_115,1,0,0,1,0,0,314
470_193,2,0,0,2,0,0,272
236_234,1,0,0,3,0,0,373
471_193,1,0,0,4,0,0,255
148_6,1,0,2,4,0,0,257
237_234,1,0,0,5,0,0,342
484_273,1,0,0,2,0,0,270
203_193,2,0,0,2,0,0,310
195_192,1,0,0,4,0,0,276
458_130,2,0,0,2,0,0,219
534_109,1,0,0,2,0,0,353
12_5,1,0,0,0,0,0,71
558_318,1,0,0,2,0,0,402
453_346,1,0,0,1,0,0,96
442_376,1,0,0,2,0,0,307
115_113,1,1,0,0,0,0,317
114_113,1,0,0,0,0,0,200
358_117,3,0,0,1,0,0,291
157_148,1,0,0,0,0,0,300
586_584,1,0,0,0,0,1,205
587_584,1,0,0,0,0,0,300
576_200,2,0,0,3,0,0,251
576_191,1,0,2,2,0,0,313
305_241,1,0,0,0,0,0,200
623_465,2,0,0,1,0,0,157
476_205,1,0,0,2,0,0,252
348_234,2,0,0,1,0,0,308
477_205,1,0,0,3,0,0,306
670_249,1,0,0,2,0,0,259
443_225,1,0,0,1,0,0,154
523_387,1,0,0,1,0,0,433
146_115,1,0,0,0,0,0,100
649_521,1,0,0,3,0,0,263
125_98,1,0,0,0,0,0,100
600_130,1,0,0,3,0,0,251
541_511,1,0,1,4,0,0,391
333_157,1,0,0,0,0,0,100
451_288,2,0,0,1,0,0,183
560_276,2,0,0,2,0,0,187
491_484,2,0,0,1,0,0,122
472_207,1,0,0,0,0,0,79
313_2,1,0,1,2,0,0,420
472_196,1,0,0,0,0,0,100
622_412,1,0,0,1,0,1,298
574_546,1,1,0,1,0,0,213
440_349,3,0,1,3,0,0,272
516_515,1,0,0,2,0,0,264
651_236,1,0,0,2,0,0,251
321_318,2,0,0,0,0,0,82
577_298,1,0,0,1,0,0,238
652_511,1,0,0,3,0,0,151
466_278,2,0,0,1,0,0,296
604_489,1,0,0,0,0,0,75
605_489,1,0,0,0,0,0,200
342_263,1,0,1,3,0,0,286
333_5,1,1,1,0,0,0,364
343_263,1,0,1,1,0,0,127
273_272,2,0,0,0,0,0,243
646_503,1,0,0,0,0,0,400
476_474,1,0,0,2,0,0,252
451_441,2,0,0,2,0,0,235
334_166,1,0,0,0,0,0,400
477_474,1,0,0,3,0,0,306
205_198,1,0,0,2,0,0,259
130_123,2,0,1,1,0,0,254
117_116,1,0,1,2,0,0,73
45_43,1,0,0,4,0,0,333
206_191,1,0,0,2,0,0,342
207_191,2,0,0,2,0,0,271
521_394,1,0,0,1,0,1,143
634_366,2,0,0,2,0,0,378
7_5,1,0,0,0,0,0,200
206_200,2,0,0,2,0,0,262
497_495,1,0,0,3,0,0,271
565_219,1,0,0,1,0,0,139
591_229,1,0,1,2,0,0,182
499_141,1,0,0,1,0,0,212
475_200,2,0,0,3,0,0,298
199_195,2,0,0,2,0,0,320
198_195,2,0,0,2,0,0,303
474_200,1,0,0,2,0,0,400
453_235,2,0,0,2,0,0,200
318_221,1,0,1,1,0,0,302
570_266,2,0,0,0,0,0,208
410_281,1,0,1,3,0,0,252
340_339,1,0,0,0,0,0,100
46_45,1,0,0,1,0,0,144
451_284,1,0,0,5,0,0,277
477_198,2,0,0,2,0,0,437
304_125,1,0,0,2,0,0,335
475_191,1,0,0,3,0,0,378
564_258,1,0,0,2,0,0,338
651_348,1,0,0,2,0,0,424
524_437,1,0,0,0,0,1,400
488_275,1,0,0,1,0,0,126
419_417,1,0,0,0,0,0,200
78_53,2,0,0,4,0,0,222
502_455,1,0,0,0,0,0,400
576_470,1,0,0,3,0,0,249
325_182,2,0,0,2,0,0,256
499_140,1,1,0,0,0,0,212
654_278,2,0,0,1,0,0,227
453_234,1,0,0,3,0,0,157
268_54,1,0,0,6,0,0,220
78_12,1,0,1,4,0,0,172
495_130,1,0,1,3,0,0,314
428_268,1,0,0,4,0,0,175
664_329,2,0,0,1,0,0,169
84_2,1,0,0,4,0,0,229
604_488,1,0,0,1,0,0,226
605_488,1,0,0,1,0,0,126
600_98,1,0,0,2,0,0,211
249_247,1,0,0,3,0,0,227
357_270,1,0,0,2,0,0,251
652_510,2,0,0,3,0,0,192
350_349,1,0,0,2,0,0,272
251_248,1,0,0,2,0,0,246
564_263,1,0,0,2,0,0,338
275_274,1,0,0,2,0,0,358
651_237,2,0,0,4,0,0,311
527_404,1,0,0,5,0,0,333
665_186,1,0,1,1,0,0,322
501_431,1,0,1,1,0,0,365
526_404,1,0,0,6,0,0,418
664_186,2,0,0,2,0,0,265
54_43,1,0,0,6,0,0,245
357_118,1,0,0,2,0,0,221
516_447,1,0,0,1,0,0,159
47_45,1,0,0,3,0,0,363
472_197,1,0,0,0,0,0,90
118_115,1,0,0,2,0,0,221
454_376,1,0,0,0,0,0,88
226_225,2,0,0,3,0,0,252
407_223,1,0,0,3,0,0,184
473_206,2,0,0,2,0,0,249
472_206,1,0,0,3,0,0,272
318_18,2,0,1,2,0,0,380
447_334,1,0,0,1,0,0,300
148_53,1,1,1,0,0,0,163
267_200,2,0,0,2,0,0,320
511_509,2,0,0,2,0,0,339
541_510,1,0,1,1,0,0,347
618_610,1,0,0,1,0,0,178
476_195,1,0,0,2,0,0,293
523_386,2,0,0,0,0,0,246
348_235,1,0,0,2,0,0,412
477_204,2,0,0,2,0,0,430
560_559,2,0,0,2,0,0,197
515_439,1,0,0,3,0,0,220
205_204,1,0,0,2,0,0,252
409_387,1,0,1,2,0,0,320
148_12,1,0,2,0,0,0,156
570_29,2,0,0,2,0,0,291
358_116,3,0,0,1,0,0,314
586_585,1,0,0,0,0,1,205
665_325,2,0,0,2,0,0,384
587_585,1,0,0,0,0,0,300
204_195,1,0,0,2,0,0,293
474_470,1,0,0,2,0,0,205
506_504,5,2,0,1,0,0,207
453_347,2,0,0,3,0,0,336
556_321,1,0,0,3,0,0,384
557_321,1,0,0,2,0,0,434
346_237,1,0,0,2,0,0,191
194_193,1,0,0,2,0,0,390
203_192,2,0,0,4,0,0,353
547_278,2,0,0,1,0,0,209
454_442,1,0,0,2,0,0,207
504_366,5,2,1,1,0,0,209
654_560,2,0,0,2,0,0,211
484_272,1,0,0,2,0,0,113
78_7,1,0,0,2,0,0,296
236_235,1,0,0,2,0,0,251
148_7,1,1,2,0,0,0,268
237_235,2,0,0,4,0,0,352
488_486,6,0,0,2,0,0,328
588_587,1,0,0,0,0,0,300
412_354,1,0,0,0,0,0,200
581_255,1,0,1,1,0,0,307
649_388,1,0,0,3,0,0,186
102_57,1,0,0,1,0,0,116
263_259,1,0,0,1,0,0,300
454_19,1,0,0,1,0,0,400
219_218,1,0,1,7,0,0,269
450_241,1,0,0,2,0,0,261
563_259,1,0,0,0,0,0,300
352_351,1,0,0,1,0,0,111
400_171,1,0,0,1,0,0,217
428_46,1,0,0,4,0,0,173
616_530,3,0,1,3,0,0,319
548_532,3,0,0,1,0,0,352
300_212,1,0,0,4,0,0,321
663_329,1,0,0,1,0,0,193
623_547,2,0,0,1,0,0,179
534_103,4,0,0,2,0,0,392
659_448,1,0,0,1,0,0,214
197_191,2,0,0,2,0,0,282
598_355,1,0,0,1,0,1,314
196_191,2,0,0,2,0,0,287
562_263,1,0,0,0,0,0,400
581_399,1,0,1,2,0,0,166
563_263,1,0,0,2,0,0,382
663_186,1,0,1,1,0,0,300
477_472,1,0,0,1,0,0,101
206_197,2,0,0,2,0,0,234
307_242,1,0,0,3,0,0,175
408_226,1,0,0,1,0,0,129
282_118,1,0,1,2,0,0,244
207_206,2,0,0,2,0,0,223
608_492,1,0,0,3,0,0,333
268_45,2,0,0,4,0,0,314
525_164,1,0,0,3,0,0,180
441_288,3,0,0,4,0,0,381
600_497,1,0,1,4,0,0,312
474_206,1,0,0,2,0,0,205
198_193,2,0,0,2,0,0,293
199_193,2,0,0,2,0,0,310
650_524,1,0,0,0,0,1,281
541_235,1,0,1,1,0,0,347
270_115,1,0,0,1,0,0,137
576_477,1,0,0,2,0,0,137
488_272,2,0,0,1,0,0,369
46_43,1,0,0,3,0,0,204
281_279,1,0,0,3,0,0,280
381_378,1,0,0,0,0,0,300
380_378,1,0,0,1,0,0,300
551_415,1,0,0,0,0,0,200
475_197,2,0,0,3,0,0,270
471_204,1,0,0,4,0,0,315
260_257,1,0,0,2,0,0,394
261_257,1,0,1,3,0,0,250
609_27,1,0,0,2,0,0,173
357_282,1,0,2,3,0,0,304
643_141,1,0,0,1,0,0,112
412_353,1,0,0,0,0,0,86
426_54,1,0,1,2,0,0,296
556_222,1,0,0,1,0,0,111
557_222,1,0,0,0,0,0,100
471_195,1,0,0,4,0,0,265
470_195,1,0,0,2,0,0,208
509_346,2,0,0,2,0,0,278
148_78,1,0,2,4,0,0,228
532_466,1,0,0,1,0,0,234
484_275,1,0,0,2,0,0,270
652_235,2,0,0,3,0,0,235
62_7,1,0,0,3,0,0,284
621_407,1,0,0,2,0,0,167
620_407,1,0,0,1,0,0,115
663_325,1,0,0,1,0,0,238
203_195,2,0,0,2,0,0,320
472_470,1,0,0,3,0,0,272
473_470,2,0,0,2,0,0,249
113_112,1,0,0,0,0,0,300
397_396,1,0,0,0,0,0,200
611_540,1,0,0,0,0,0,200
607_520,1,0,0,0,0,0,200
656_539,1,0,0,2,0,0,300
53_5,1,0,0,0,0,0,100
204_192,1,0,0,4,0,0,326
539_450,3,0,0,3,0,0,332
513_287,1,0,0,0,0,0,100
538_450,1,0,0,1,0,0,135
427_43,1,0,0,1,0,0,110
532_276,3,0,0,1,0,0,328
576_206,1,0,0,3,0,0,249
530_290,1,0,0,3,0,0,228
560_548,2,0,0,2,0,0,211
576_197,2,0,0,3,0,0,223
510_236,1,0,0,2,0,0,251
205_203,1,0,0,2,0,0,259
358_146,1,0,0,3,0,0,260
267_196,2,0,0,2,0,0,320
491_271,2,0,0,0,0,0,152
596_422,1,1,0,3,0,0,123
303_295,1,0,0,2,0,0,156
654_623,2,0,0,1,0,0,197
299_295,1,0,0,3,0,0,189
477_192,2,0,0,4,0,0,413
537_307,1,0,0,1,0,0,162
443_223,1,0,0,2,0,0,132
476_192,1,0,0,4,0,0,326
536_242,1,0,0,3,0,0,129
146_113,1,0,0,0,0,0,100
537_242,1,0,0,2,0,0,137
610_254,1,0,0,2,0,0,171
267_207,2,0,0,2,0,0,320
574_9,1,0,0,0,0,0,100
427_54,1,0,1,1,0,0,283
477_193,2,0,0,0,0,0,101
537_306,1,0,0,1,0,0,119
476_193,1,0,0,2,0,0,283
536_306,1,0,0,2,0,0,111
618_27,1,0,0,1,0,0,114
291_287,1,0,0,1,0,0,373
62_53,2,0,0,4,0,0,251
534_134,4,0,0,1,0,0,392
267_197,2,0,0,2,0,0,320
596_423,1,0,0,3,0,0,95
527_526,2,0,0,1,0,0,97
270_118,1,0,0,2,0,0,194
555_251,1,0,0,0,0,0,100
193_192,1,0,0,4,0,0,266
583_2,1,0,0,1,0,0,300
577_529,1,0,0,1,0,0,238
664_39,1,0,0,1,0,0,88
576_196,2,0,0,3,0,0,228
510_237,2,0,0,4,0,0,309
447_168,1,0,0,0,0,0,100
404_164,1,0,0,4,0,0,317
558_221,1,0,0,0,0,0,100
412_411,1,0,0,1,0,1,107
576_207,2,0,0,3,0,0,212
62_12,1,0,1,4,0,0,201
521_409,1,0,1,2,0,0,295
634_506,2,0,0,2,0,0,375
204_193,1,0,0,2,0,0,283
106_2,1,0,0,1,0,0,323
205_193,1,0,0,2,0,0,390
